"COLUMN_NAME","COMMENTS"
"TRADE_DATE","交易日期"
"CODE","证券代码"
"NAME","证券名称"
"FINANCING_BUY_VALUE","融资买入额（元）"
"FINANCING_BALANCE_VALUE","融资余额（元）"
"FINANCING_MARGIN_BALANCE_VALUE","融资融券余额（元）"
"MARGIN_SELL_AMOUNT","融券卖出量（股）"
"MARGIN_BALANCE_AMOUNT","融券余量（股）"
"MARGIN_REPAY_AMOUNT","融券偿还量"
"MARGIN_BALANCE_VALUE","融券余额（元）"
"FINANCING_REPAY_VALUE","融资偿还额"
"F001N","用户ID"
"F002D","日期"
"F003V","证券代码"
"F004N","证券数量"
"F005N","证券价格"
"F006N","证券类型 1股票 2基金 3债券 4权证 5其他"
"F001N","用户ID"
"F002D","日期"
"F003N","资金增减"
"F004N","账户余额"
"F034N_0290","长期待摊费用"
"F035N_0290","递延所得税资产"
"F036N_0290","其他非流动资产"
"F037N_0290","非流动资产合计"
"F038N_0290","资产总计"
"F039N_0290","短期借款"
"F040N_0290","交易性金融负债"
"F041N_0290","应付票据"
"F042N_0290","应付账款"
"F043N_0290","预收款项"
"F044N_0290","应付职工薪酬"
"F045N_0290","应交税费"
"F046N_0290","应付利息"
"F047N_0290","应付股利"
"F048N_0290","其他应付款"
"F049N_0290","应付关联公司款"
"F050N_0290","一年内到期的非流动负债"
"F051N_0290","其他流动负债"
"F052N_0290","流动负债合计"
"F053N_0290","长期借款"
"F054N_0290","应付债券"
"F055N_0290","长期应付款"
"F059N_0290","其他非流动负债"
"F060N_0290","非流动负债合计"
"F061N_0290","负债合计"
"F062N_0290","实收资本(或者股本)"
"F063N_0290","资本公积"
"F064N_0290","盈余公积"
"F066N_0290","减:库存股"
"F065N_0290","未分配利润"
"F067N_0290","少数股东权益"
"F068N_0290","外币报价折算价差"
"F069N_0290","非正常经营项目收益调整"
"F070N_0290","所有者权益(或股东权益)合计"
"F071N_0290","负债和所有者(或股东权益)合计"
"OB_MEMO_0290","备注"
"OB_RECTIME_0290","录入时间"
"OB_MODTIME_0290","修改时间"
"OB_ISVALID_0290","是否有效"
"OB_SEQ_ID","序号"
"F072N_0290","专项储备"
"F076N_0290","一般风险准备"
"F073N_0290","归属于母公司所有者权益"
"OB_OBJECT_ID","记录ID"
"OB_ORGID_0290","机构ID"
"OB_ORGNAME_0290","机构名称"
"OB_DECLAREDATE_0290","公告日期"
"OB_ENDDATE_0290","截止日期"
"F001D_0290","报告年度"
"F002V_0290","合并类型编码"
"F003V_0290","合并类型"
"F004V_0290","报表来源编码"
"F005V_0290","报表来源"
"F006N_0290","货币资金"
"F007N_0290","交易性金融资产"
"F008N_0290","应收票据"
"F009N_0290","应收账款"
"F010N_0290","预付款项"
"F011N_0290","其他应收款"
"F012N_0290","应收关联公司款"
"F031N_0290","无形资产"
"F032N_0290","开发支出"
"F033N_0290","商誉"
"F020N_0290","可供出售金融资产"
"F021N_0290","持有至到期投资"
"F022N_0290","长期应收款"
"F023N_0290","长期股权投资"
"F024N_0290","投资性房地产"
"F025N_0290","固定资产"
"F026N_0290","在建工程"
"F027N_0290","工程物资"
"F028N_0290","固定资产清理"
"F029N_0290","生产性生物资产"
"F030N_0290","油气资产"
"F056N_0290","专项应付款"
"F057N_0290","预计负债"
"F058N_0290","递延所得税负债"
"F013N_0290","应收利息"
"F014N_0290","应收股利"
"F015N_0290","存货"
"F016N_0290","其中:消耗性生活资产"
"F017N_0290","一年内到期的非流动资产"
"F018N_0290","其他流动资产"
"F019N_0290","流动资产合计"
"OB_STARTDATE_0291","开始日期"
"OB_ENDDATE_0291","截止日期"
"F001D_0291","报告年度(YYYY-03-31为一季报,YYYY-06-30为中报,YYYY-09-30为三季报,YYYY-12-31为年报)"
"F002V_0291","合并类型编码"
"F003V_0291","合并类型(合并本期,合并上期,母公司本期,母公司上期)"
"F004V_0291","报告来源编码"
"F005V_0291","报告来源"
"F006N_0291","一、营业收入"
"F007N_0291","减：营业成本"
"F008N_0291","营业税金及附加"
"F009N_0291","销售费用"
"F010N_0291","管理费用"
"F011N_0291","勘探费用"
"F012N_0291","财务费用"
"F017N_0291","影响营业利润的其他科目"
"F018N_0291","二、营业利润"
"F019N_0291","加：补贴收入"
"F020N_0291","营业外收入"
"F021N_0291","减：营业外支出"
"F022N_0291","其中：非流动资产处置净损失"
"F023N_0291","加：影响利润总额的其他科目"
"F024N_0291","三、利润总额"
"F025N_0291","减：所得税"
"F026N_0291","加：影响净利润的其他科目"
"F027N_0291","四、净利润"
"F028N_0291","归属于母公司所有者的净利润"
"F029N_0291","少数股东损益"
"F030N_0291","五、每股收益："
"F031N_0291","（一）基本每股收益"
"F032N_0291","（二）稀释每股收益"
"OB_MEMO_0291","备注"
"OB_RECTIME_0291","录入时间"
"OB_MODTIME_0291","修改时间"
"OB_OBJECT_ID","记录ID"
"OB_ORGID_0291","机构ID"
"OB_ORGNAME_0291","机构名称"
"OB_DECLAREDATE_0291","公告日期"
"OB_ISVALID_0291","是否有效(0否，1是)"
"OB_SEQ_ID","序列号"
"F035N_0291","一、营业总收入"
"F036N_0291","二、营业总成本"
"F037N_0291","汇兑收益"
"F038N_0291","七、其他综合收益"
"F039N_0291","八、综合收益总额"
"F040N_0291","其中：归属于母公司"
"F041N_0291","其中：归属于少数股东"
"F013N_0291","资产减值损失"
"F014N_0291","加：公允价值变动净收益"
"F015N_0291","投资收益"
